"Symbol","Name","Sector"
"AA","Alcoa Corp","Materials","Equity"
"AAN","Aarons Inc","Consumer Discretionary","Equity"
"AAOI","Applied Optoelectronics Inc","Information Technology","Equity"
"AAON","AAON Inc","Industrials","Equity"
"AAT","American Assets Trust REIT Inc","Real Estate","Equity"
"AAWW","Atlas Air Worldwide Holdings Inc","Industrials","Equity"
"ABCB","Ameris Bancorp","Financials","Equity"
"ABEO","Abeona Therapeutics Inc","Health Care","Equity"
"ABG","Asbury Automotive Group Inc","Consumer Discretionary","Equity"
"ABM","ABM Industries Inc","Industrials","Equity"
"ABR","Arbor Realty Trust Reit Inc","Financials","Equity"
"ABTX","Allegiance Bancshares Inc","Financials","Equity"
"ACA","Arcosa Inc","Industrials","Equity"
"AC","Associated Capital Group Inc Class","Financials","Equity"
"ACBI","Atlantic Capital Bancshares Inc","Financials","Equity"
"ACCO","Acco Brands Corp","Industrials","Equity"
"ACEL","Accel Entertainment Inc Class A","Consumer Discretionary","Equity"
"ACIA","Acacia Communications Inc","Information Technology","Equity"
"ACIW","ACI Worldwide Inc","Information Technology","Equity"
"ACLS","Axcelis Technologies Inc","Information Technology","Equity"
"ACNB","ACNB Corp","Financials","Equity"
"ACRE","Ares Commercial Real Estate Reit C","Financials","Equity"
"ACRX","Acelrx Pharmaceuticals Inc","Health Care","Equity"
"ACTG","Acacia Research Corp","Industrials","Equity"
"ADC","Agree Realty REIT Corp","Industrials","Equity"
"ADES","Advanced Emissions Solutions Inc","Materials","Equity"
"ADMA","ADMA Biologics Inc","Health Care","Equity"
"ADNT","Adient PLC","Consumer Discretionary","Equity"
"ADRO","Aduro Biotech Inc","Health Care","Equity"
"ADSW","Advanced Disposal Services Inc","Industrials","Equity"
"ADTN","Adtran Inc","Information Technology","Equity"
"ADUS","Addus Homecare Corp","Health Care","Equity"
"ADVM","Adverum Biotechnologies Inc","Health Care","Equity"
"AE","Adams Resources And Energy Inc","Energy","Equity"
"AEGN","Aegion Corp Class A","Industrials","Equity"
"AEIS","Advanced Energy Industries Inc","Information Technology","Equity"
"AEL","American Equity Investment Life Ho","Financials","Equity"
"AEO","American Eagle Outfitters Inc","Consumer Discretionary","Equity"
"AERI","Aerie Pharmaceuticals Inc","Health Care","Equity"
"AFIN","American Fin Inc Trust Class A","Real Estate","Equity"
"AFMD","Affimed NV","Health Care","Equity"
"AGEN","Agenus Inc","Health Care","Equity"
"AGFS","Agrofresh Solutions Inc","Materials","Equity"
"AGLE","Aeglea Biotherapeutics Inc","Health Care","Equity"
"AGM","Federal Agricultural Mortgage Non","Financials","Equity"
"AGRX","Agile Therapeutics Inc","Health Care","Equity"
"AGS","PLayags Inc","Consumer Discretionary","Equity"
"AGTC","Applied Genetic Technologies Corp","Health Care","Equity"
"AGX","Argan Inc","Industrials","Equity"
"AGYS","Agilysis Inc","Information Technology","Equity"
"AHCO","Adapthealth Corp Class A","Health Care","Equity"
"AHH","Armada Hoffler Properties Reit Inc","Real Estate","Equity"
"AI","Arlington Asset Investment Class A","Financials","Equity"
"AIMC","Altra Indstrial Motion Corp","Industrials","Equity"
"AIMT","Aimmune Therapeutics Inc","Health Care","Equity"
"AIN","Albany International Corp Class A","Industrials","Equity"
"AIR","AAR Corp","Industrials","Equity"
"AIT","Applied Industrial Technologies Inc","Industrials","Equity"
"AJRD","Aerojet Rocketdyne Holdings Inc","Industrials","Equity"
"AJX","Great Ajax Corp","Financials","Equity"
"AKBA","Akebia Therapeutics Inc","Health Care","Equity"
"AKCA","Akcea Therapeutics Inc","Health Care","Equity"
"AKR","Acadia Realty Trust Reit","Real Estate","Equity"
"AKRO","Akero Therapeutics Inc","Health Care","Equity"
"AKTS","Akoustis Technologies Inc","Information Technology","Equity"
"ALBO","Albireo Pharma Inc","Health Care","Equity"
"ALCO","Alico Inc","Consumer Staples","Equity"
"ALE","Allete Inc","Utilities","Equity"
"ALEC","Alector Inc","Health Care","Equity"
"ALEX","Alexander & Baldwin Inc","Real Estate","Equity"
"ALG","Alamo Group Inc","Industrials","Equity"
"ALGT","Allegiant Travel","Industrials","Equity"
"ALLK","Allakos Inc","Health Care","Equity"
"ALLO","Allogene Therapeutics Inc","Health Care","Equity"
"ALRM","Alarm.com Holdings Inc","Information Technology","Equity"
"ALRS","Alerus Financial Corp","Financials","Equity"
"ALSK","Alaska Communications Systems Group","Communication","Equity"
"ALTG","Alta Equipment Group Inc Class A","Industrials","Equity"
"ALTR","Altair Engineering Inc Class A","Information Technology","Equity"
"ALX","Alexanders Reit Inc","Real Estate","Equity"
"AMAC","AMAG Pharmaceuticals Inc","Health Care","Equity"
"AMAL","Amalgamated Bank Class A","Financials","Equity"
"AMBA","Ambarella Inc","Information Technology","Equity"
"AMBC","Ambac Financial Group Inc","Financials","Equity"
