"AAN","Aarons Inc","Consumer Discretionary","Equity"
"ACHC","Acadia Healthcare","Health Care","Equity"
"ACIW","ACI Worldwide","Information Technology","Equity"
"ADNT","Adient plc","Consumer Discretionary","Equity"
"ATGE","Adtalem Global Education","Consumer Discretionary","Equity"
"ACM","AECOM","Industrials","Equity"
"ACC","Amercian Campus Communities","Real Estate","Equity"
"AEO","American Eagle Outfitters","Consumer Discretionary","Equity"
"AFG","American Financial Group","Financials","Equity"
"AGCO","AGCO","Industrials","Equity"
"ALE","Allete Inc","Utilities","Equity"
"ALEX","Alexander & Baldwin","Real Estate","Equity"
"AMED","Amedisys","Health Care","Equity"
"AM","Antero Midstream","Energy","Equity"
"APY","Apergy Corp","Energy","Equity"
"ATI","Allegheny Technologies","Materials","Equity"
"AMCX","AMC Networks","Communication","Equity"
"AN","AutoNation","Consumer Discretionary","Equity"
"ARW","Arrow Electronics","Information Technology","Equity"
"ASB","Associated Banc-Corp","Financials","Equity"
"ASGN","ASGN",,"Industrials","Equity"
"ASH","Ashland Inc","Materials","Equity"
"ATO","Atmos Energy","Utilities","Equity"
"ATR","AptarGroup Inc","Materials","Equity"
"AVNS","Avanos Medical Inc","Health Care","Equity"
"AVT","Avnet","Information Technology","Equity"
"AYI","Acuity Brands","Industrials","Equity"
"AAXN","Axon Enterprise","Industrials","Equity"
"BBBY","Bed Bath & Beyond","Consumer Discretionary","Equity"
"BC","Brunswick Corporation","Consumer Discretionary","Equity"
"BCO","Brinks Company","Industrials","Equity"
"BDC","Belden Inc","Information Technology","Equity"
"BIO","Bio-Rad Laboratories","Health Care","Equity"
"BKH","Black Hills Corporation","Utilities","Equity"
"BLKB","Blackbaud","Information Technology","Equity"
"BOH","Bank of Hawaii","Financials","Equity"
"BRO","Brown & Brown","Financials","Equity"
"BXS","BancorpSouth","Financials","Equity"
"BYD","Boyd Gaming","Consumer Discretionary","Equity"
"BHF","Brighthouse Financial","Financials","Equity"
"EAT","Brinker International Inc","Consumer Discretionary","Equity"
"BRX","Brixmor Property Group","Real Estate","Equity"
"CABO","Cable One Inc","Communication","Equity"
"CZR","Caesars Entertainment","Consumer Discretionary","Equity"
"CAKE","Cheesecake Factory Inc","Consumer Discretionary","Equity"
"CAR","Avis Budget Group","Industrials","Equity"
"CACI","CACI International","Information Technology","Equity"
"CASY","Caseys General Stores","Consumer Staples","Equity"
"CATY","Cathay General Bancorp","Financials","Equity"
"CFX","Colfax","Industrials","Equity"
"CBSH","Commerce Bancshares","Financials","Equity"
"CBT","Cabot Corp","Materials","Equity"
"CC","Chemours","Materials","Equity"
"CDK","CDK Global Inc","Information Technology","Equity"
"CFT","Cullen/Frost Bankers Inc","Financials","Equity"
"CGNX","Cognex Corporation","Information Technology","Equity"
"CHE","Chemed Corp","Health Care","Equity"
"CHDN","Churchill Downs Inc","Consumer Discretionary","Equity"
"CHK","Chesapeake Energy","Energy","Equity"
"CIEN","Ciena Corp","Information Technology","Equity"
"CLB","Core Laboratories","Energy","Equity"
"CLGX","CoreLogic","Information Technology","Equity"
"CLH","Clean Harbors Inc","Industrials","Equity"
"CLI","Mack-Cali Realty Corporation","Real Estate","Equity"
"CMC","Commercial Metals Company","Materials","Equity"
"CMD","Cantel Medical Corporation","Health Care","Equity"
"CMP","Compass Minerals International Inc","Materials","Equity"
"CNK","Cinemark Holdings Inc","Communication","Equity"
"CNO","CNO Financial Group","Financials","Equity"
"COHR","Coherent Inc","Information Technology","Equity"
"CONE","CyrusOne","Real Estate","Equity"
"COR","CoreSite Realty","Real Estate","Equity"
"CPT","Camden Property Trust","Real Estate","Equity"
"CR","Crane Co","Industrials","Equity"
"CREE","Cree Inc","Information Technology","Equity"
"CRI","Carters Inc","Consumer Discretionary","Equity"
"CRL","Charles River Laboratories","Health Care","Equity"
"CRS","Carpenter Technology","Materials","Equity"
"CRUS","Cirrus Logic Inc","Information Technology","Equity"
"CNX","CNX REsources Corp","Energy","Equity"
"CSL","Carlisle Companies Inc","Industrials","Equity"
"CTLT","Catalent Inc","Health Care","Equity"
"CUZ","Cousins Properties Inc","Real Estate","Equity"
"CVLT","ComVault Systems","Information Technology","Equity"
"CXW","CoreCivic","Real Estate","Equity"
"CVET","Covetrus","Health Care","Equity"
"CW","Curtiss-Wright Corp","Industrials","Equity"
"CBRL","Cracker Barrel","Consumer Discretionary","Equity"
"CY","Cypress Semiconductor Corp","Information Technology","Equity"
"DAN","Dana Incorporated","Consumer Discretionary","Equity"
"DCI","Donaldson Co","Industrials","Equity"
"DDS","Dillards Inc","Consumer Discretionary","Equity"
"DECK","Deckers Outdoor Corporation","Consumer Discretionary","Equity"
"DEI","Douglas Emmett Inc","Real Estate","Equity"
"DKS","Dicks Sporting Goods Inc","Consumer Discretionary","Equity"
"DLPH","Delphi Technologies PLC","Consumer Discretionary","Equity"
"DLX","Deluxe Corporation","Industrials","Equity"
"DNKN","Dunkin Brands Group Inc","Consumer Discretionary","Equity"
"DNOW","NOW Inc","Industrials","Equity"
"DPZ","Dominos Pizza","Consumer Discretionary","Equity"
"DY","Dycom Industries Inc","Industrials","Equity"
"EGP","EastGroup Properties Inc","Real Estate","Equity"
"EPC","Edgewell Personal Care Company","Consumer Staples","Equity"
"ERI","Eldorado Resorts","Consumer Discretionary","Equity"
"EHC","Encompass Health Corp","Health Care","Equity"
"EME","Emcor","Industrials","Equity"
"ENR","Energizer Holdings Inc","Consumer Staples","Equity"
"ENS","EnerSys","Industrials","Equity"
"EPR","EPR Properties","Real Estate","Equity"
"EQT","EQT","Energy","Equity"
"ETRN","Equitrans Midstream Corp","Energy","Equity"
"WTRG","Essential Utilities","Utilities","Equity"
"ETSY","Etsy","Consumer Discretionary","Equity"
"EV","Eaton Vance Corp","Financials","Equity"
"EVR","Evercore","Financials","Equity"
"EWBC","Esat West Bancorp Inc","Financials","Equity"
"Exelixis","Health Care","Equity"
"EXP","Eagle Materials Inc","Materials","Equity"
"FAF","First American Financial Corp","Financials","Equity"
"FDS","FActSet Research Systems Inc","Financials","Equity"
"FCFS","FirstCash","Financials","Equity"
"FFIN","First Financial Bankshares Inc","Financials","Equity"
"FHN","First Horizon National Corp","Financials","Equity"
"FICO","Fair Isaac Corporation","Information Technology","Equity"
"FHI","Federated Investors","Financials","Equity"
"FIVE","Five Below","Consumer Discretionary","Equity"
"FLO","Flowers Foods Inc","Consumer Staples","Equity"
"FLR","Fluor","Industrials","Equity"
"FR","First Industrial Realty Trust","Real Estate","Equity"
"FNB","FNB Corporation","Financials","Equity"
"FSLR","First Solar","Information Technology","Equity"
"FL","Foot Locker","Consumer Discretionary","Equity"
"FULT","Fulton Financial Corporation","Financials","Equity"
"GATX","GATX Corp","Industrials","Equity"
"GEF","Freif Inc","Materials","Equity"
"GEO","GEO Group Inc","Real Estate","Equity"
"GGG","Graco Inc","Industrials","Equity"
"GHC","Graham Holdings Company","Consumer Discretionary","Equity"
"GME","GameStop Corp","Consumer Discretionary","Equity"
"GMED","Globus Medical Inc","Health Care","Equity"
"GNTX","Gentex Corp","Consumer Discretionary","Equity"
"GNW","Genworth Financial","Financials","Equity"
"GT","Goodyear Tire and Rubber","Consumer Discretionary","Equity"
"GVA","Granite Construction Inc","Industrials","Equity"
"GDOT","Green Dot Corp","Financials","Equity"
"GRUB","Grubhub","Consumer Discretionary","Equity"
"GWRS","Geness & Wyoming","Industrials","Equity"
"HAE","Haemonetics","Health Care","Equity"
"HAIN","Hain Celestial Group","Consumer Staples","Equity"
"HWC","Hancock Whitney Corp","Financials","Equity"
"HCSG","Heathcare Services Group","Industrials","Equity"
"HE","Hawaiian Electric Industries","Utilities","Equity"
"HELE","Helen of Troy Limited","Consumer Discretionary","Equity"
"HIW","HHighwoods Properties","Real Estate","Equity"
"HNI","HNI Corporation","Industrials","Equity"
"HOMB","Home BancSahres Inc","Financials","Equity"
"HQY","HealthEquity","Health Care","Equity"
"HR","Heathcare Realty Trust","Real Estate","Equity"
"HRC","Hill-Rom Holdings Inc","Health Care","Equity"
"HUBB","Hubbell Incorporated","Industrials","Equity"
"ICUI","ICU Medical","Health Care","Equity"
"IDA","Idacorp Inc","Utilities","Equity"
"IIVI","II-VI","Information Technology","Equity"
"NGVT","Ingevity Corp","Materials","Equity"
"NSP","Insperity Inc","Industrials","Equity"
"IART","Integra Lifesciences Holdings","Health Care","Equity"
"IBKR","Interactive Brokers","Financials","Equity"
"IBOC","Intl Bancshares Corp","Financials","Equity"
"IDCC","InterDigital Inc","Information Technology","Equity"
"INGR","Ingredion Inc","Consumer Staples","Equity"
"INT","World Fuel Services Corp","Energy","Equity"
"ITT","ITT Inc","Industrials","Equity"
"JACK","Jack in the Box Inc","Consumer Discretionary","Equity"
"JBGS","JBG Smith Properties","Real Estate","Equity"
"JBL","Jabil Circuit Inc","Information Technology","Equity"
"JHG","Janus Henderson","Financials","Equity"
"JEF","Jefferies Financial Group","Financials","Equity"
"JBLU","JetBlue Airways Corp","Industrials","Equity"
"JCOM","j2 Global Inc","Information Technology","Equity"
"JLL","Jones Lang Lasalle Inc","Real Estate","Equity"
"JW.A","John Wiley & Sons","Communication","Equity"
"KAR","KAR Auction Services","Industrials","Equity"
"KBH","KB Home","Consumer Discretionary","Equity"
"KBR","KBR Inc","Industrials","Equity"
"KEX","Kirby Corporation","Industrials","Equity"
"KMPR","Kemper Corporation","Financials","Equity"
"KMT","Kennametal Inc","Industrials","Equity"
"KNX","Knight-Swift","Industrials","Equity"
"KRC","Kilroy Realty Corp","Real Estate","Equity"
"LAMR","Lamar Advertising Company","Real Estate","Equity"
"LANC","Lancaster Colony Corp","Consumer Staples","Equity"
"LGND","Ligand Pharmaceuticals Inc","Health Care","Equity"
"LECO","Lincoln Electric Holdings Inc","Industrials","Equity"
"LFUS","Littefuse Inc","Information Technology","Equity"
"LII","Lennox International Inc","Industrials","Equity"
"LITE","Lumentum Holdings","Information Technology","Equity"
"LIVN","LivaNova","Health Care","Equity"
"RAMP","LiveRamp","Information Technology","Equity"
"LM","Legg Mason Inc","Financials","Equity"
"LOGM","LogMeln","Information Technology","Equity"
"LPT","Liberty Property Trust","Real Estate","Equity"
