"Symbol","Name","Sector"
"MMM","3M Company","Industrials","Equity"
"ABT","Abbott Laboratories","Health Care","Equity"
"ABBV","AbbVie Inc","Health Care","Equity"
"ABMD","ABIOMED Inc","Health Care","Equity"
"ACN","Accenture pld","Information Technology","Equity"
"ATVI","Activitsion Blizzard","Communication","Equity"
"ADBE","Adobe Inc.","Information Technology","Equity"
"AMD","Advanced Micro Devices Inc","Information Technology","Equity"
"AAP","Advance Auto Parts","Consumer Discretionary","Equity"
"AES","AES Corp","Utilities","Equity"
"AFL","AFLAC Inc","Financials","Equity"
"A","Agilent Technologies Inc","Health Care","Equity"
"APD","Air Produces and Chemicals Inc","Materials","Equity"
"AKAM","Akamai Technologies Inc","Information Technology","Equity"
"ALK","Alaska Air Group Inc","Industrials","Equity"
"ALB","Albemarle Corp","Materials","Equity"
"ARE","Alexandria Real Estate Equities","Real Estate","Equity"
"ALXN","Alexion Pharmaceuticals Inc","Health Care","Equity"
"ALGN","Align Technology","Health Care","Equity"
"ALLE","Allegion","Industrials","Equity"
"LNT","Alliant Energy Corp","Utilities","Equity"
"ALL","Allstate Corp","Financials","Equity"
"GOOGL","alphabet Inc","Communication","Equity"
"GOOG","Alphabet Inc","Communication","Equity"
"MO","Altria Group","Consumer Staples","Equity"
"AMZN","Amazon.com Inc","Consumer Discretionary","Equity"
"AMCR","Amcor plc","Materials","Equity"
"AEE","Ameren Corp","Utilities","Equity"
"AAL","American Airlines Group","Industrials","Equity"
"AEP","American Electric Power","Utilities","Equity"
"AXP","American Express Co","Financials","Equity"
"AIG","American International Group","Financials","Equity"
"AMT","American Tower Corp","Real Estate","Equity"
"AWK","American Water Works Company Inc","Utilities","Equity"
"AMP","Ameriprise Financial","Financials","Equity"
"ABC","AmerisourceBergen Corp","Health Care","Equity"
"AME","AMETEK Inc","Industrials","Equity"
"AMGN","Amgen Inc","Health Care","Equity"
"APH","Amphenol Corp","Information Technology","Equity"
"ADI","Analog Devices Inc","Information Technology","Equity"
"ANSS","ANSYS","Information Technology","Equity"
"ANTM","Anthem","Health Care","Equity"
"AON","Aon Plc","Financials","Equity"
"AOS","AO Smith Corp","Industrials","Equity"
"APA",""Apache Corporation","Energy","Equity"
"AIV","Apartment Investment and Management","Real Estate","Equity"
"AAPL","Apple Inc","Information Technology","Equity"
"AMAT","Applied Materials Inc","Information Technology","Equity"
"APTV","Aptiv PLC","Consumer Discretionary","Equity"
"ADM","Archer-Daniels-Midland Co","Consumer Staples","Equity"
"ANET","Arista Networks","Information Technology","Equity"
"AJG","Arthur J Gallagher and Co","Financials","Equity"
"AIZ","Assurant","Financials","Equity"
"T","AT&T Inc","Communication","Equity"
"ATO","Atmos Energy","Utilities","Equity"
"ADSK","Autodesk Inc","Information Technology","Equity"
"ADP","Automatic Data Processing","Information Technology","Equity"
"AZO","AutoZone Inc","Consumer Discretionary","Equity"
"AVB","AvalonBay Communities","Real Estate","Equity"
"AVY","Avery Dennison Corp","Materials","Equity"
"BRK","Baker Hughes Co","Energy","Equity"
"BLL","Ball Corp","Industrials","Equity"
"BAC","Bank of America Corp","Financials","Equity"
"BK","the Bank of New York Mellon","Financials","Equity"
"BAX","Baxter International Inc","Health Care","Equity"
"BDX","Becton Dickinson","Health Care","Equity"
"BRK.B","Berkshire Hathaway","Financials","Equity"
"BBY","Best Buy Co Inc","Consumer Discretionary","Equity"
"BIO","Bio-Rad Laboratories","Health Care","Equity"
"BIIB","Biogen Inc","Health Care","Equity"
"BLK","BlackRock","Financials","Equity"
"BA","Boeing Company","Industrials","Equity"
"BKNG","Booking Holdings Inc","Consumer Discretionary","Equity"
"BWA","BorgWarner","Consumer Discretionary","Equity"
"BXP","Boston Properties","Real Estate","Equity"
"BSX","Boston Scientific","Health Care","Equity"
"BMY","Bristol-Myers Squibb","Health Care","Equity"
"AVGO","Broadcom Inc","Information Technology","Equity"
"BR","Broadridge Financial Solutions","Information Technology","Equity"
"BF.B","Brown-Forman Corp","Consumer Staples","Equity"
"CHRW","CH Robinson Worldwide","Industrials","Equity"
"COG","Cabot Oil and Gas","Energy","Equity"
"CDNS","Cadence Design Systems","Information Technology","Equity"
"CPB","Campbell Soup","Consumer Staples","Equity"
"COF","Capital One Financial","Financials","Equity"
"CAH","Cardinal Health Inc","Health Care","Equity"
"KMX","Carmax Inc","Consumer Discretionary","Equity"
"CCL","Carnival Corp","Consumer Discretionary","Equity"
"CARR","Carrier Global","Industrials","Equity"
"CAT","Caterpillar Inc","Industrials","Equity"
"CBOE","CBOE Global Markets","Financials","Equity"
"CBRE","CBRE Group","Real Estate","Equity"
"CDW","CDW","Information Technology","Equity"
"CE","Celanese","Materials","Equity"
"CNC","Centene Corporation","Health Care","Equity"
"CNP","CenterPoint Energy","Utilities","Equity"
"CTL","CenturyLink Inc","Communication","Equity"
"CERN","Cerner","Health Care","Equity"
"CF","CF Industries Holdings Inc","Materials","Equity"
"SCHW","Charles Schwab Corporation","Health Care","Equity"
"CHRT","Charter Communications","Communication","Equity"
"CVX","Chevron Corp","Energy","Equity"
"CMG","Chipotle Mexican Grill","Consumer Discretionary","Equity"
"CB","Chubb Limited","Financials","Equity"
"CHD","Church and Dwight","Consumer Staples","Equity"
"CI","Cigna Corp","Health Care","Equity"
"CINF","Cincinnati Financial","Financials","Equity"
"CTAS","Cintas Corporation","Industrials","Equity"
"CSCO","Cisco Systems","Information Technology","Equity"
"C","Citigroup Inc","Financials","Equity"
"CFG","Citizens Financial Group","Financials","Equity"
"CTXS","Citrix Systems","Information Technology","Equity"
"CLX","The Clorox Company","Consumer Staples","Equity"
"CME","CME Group Inc","Financials","Equity"
"CMS","CMS Energy","Utilities","Equity"
"KO","Coa-Cola Company","Consumer Staples","Equity"
"CTSH","Cognizant Technology Solutions","Information Technology","Equity"
"CL","Colgate-Palmovlive","Consumer Staples","Equity"
"CMCSA","Comcast Corp","Communication","Equity"
"CMA","Comerica Inc","Financials","Equity"
"CAG","Conagra Brands","Consumer Staples","Equity"
"CXO","Concho Resources","Energy","Equity"
"COP","ConocoPhillips","Energy","Equity"
"ED","Consolidated Edison","Utilities","Equity"
"STZ","Constellation Brands","Consumer Staples","Equity"
"COO","The Cooper Companies","Health Care","Equity"
"CPRT","Copart Inc","Industrials","Equity"
"GLW","Corning Inc","Information Technology","Equity"
"CTVA","Corteva","Materials","Equity"
"COST","Costco Wholesale Corp","Consumer Staples","Equity"
"COTY","Coty Inc","Consumer Staples","Equity"
"CCI","Crown Castle International Corp","Real Estate","Equity"
"CSX","CSX Corp","Industrials","Equity"
"CMI","Cummins Inc","Industrials","Equity"
"CVS","CVS Health","Health Care","Equity"
"DHI","DR Horton","Consumer Discretionary","Equity"
"DHR","Danaher Corp","Health Care","Equity"
"DRI","Darden Restaurants","Consumer Discretionary","Equity"
"DVA","DaVita Inc","Health Care","Equity"
"DE","Deere and Co","Industrials","Equity"
"DAL","Delta Air Lines Inc","Industrials","Equity"
"XRAY","Dentsply Sirona","Health Care","Equity"
"DVN","Devon Energy","Energy","Equity"
"DXCM","DexCom","Health Care","Equity"
"FANG","Diamondback Energy","Energy","Equity"
"DLR","Digital Realty Trust Inc","Real Estate","Equity"
"DFS","Discover Financial Services","Financials","Equity"
"DISCA","Discovery Inc Class A","Communication","Equity"
"DISCK","Discovery Inc Class C","Communication","Equity"
"DISH","Dish Network","Communication","Equity"
"DG","Dollar General","Consumer Discretionary","Equity"
"DLTR","Dollar Tree","Consumer Discretionary","Equity"
"D","Dominion Energy","Utilities","Equity"
"DPZ","Dominos Pizza","Consumer Discretionary","Equity"
"DOV","Dover Corporation","Industrials","Equity"
"DOW","Dow Inc","Materials","Equity"
"DTE","DTE Energy Co","Utilities","Equity"
"DUK","Duke Energy","Utilities","Equity"
"DRE","Duke Realty Corp","Real Estate","Equity"
"DD","DuPont De Nemours Inc","Materials","Equity"
"DXC","Dxc Technology","Information Technology","Equity"
"ETFC","ETrade","Financials","Equity"
"EMN","Eastman Chemical","Materials","Equity"
"ETN","Eaton Corporation","Industrials","Equity"
"EBAY","eBay Inc","Consumer Discretionary","Equity"
"ECL","Ecolab INC","Materials","Equity"
"EIX","Edison Intl","Utilities","Equity"
"EW",'Edwards Lifesciences","Health Care","Equity"
"EA","Electronic Arts","Communication","Equity"
"EMR","Emerson Electric Company","Industrials","Equity"
"ETR","Entergy Corp","Utilities","Equity"
"EOG","EOG Resources","Energy","Equity"
"EFX","Equifax Inc","Industrials","Equity"
"EQIX","Equinix","Real Estate","Equity"
"EQR","Equity Residential","Real Estate","Equity"
"ESS","Essex Property Trust Inc","Real Estate","Equity"
"EL","Estee Lauder Companies","Consumer Staples","Equity"
"EVRG","Evergy","Utilities","Equity"
"ES","Eversource Energy","Utilities","Equity"
"RE","Everest Re Group Ltd","Financials","Equity"
"EXC","Exelon Corp","Utilities","Equity"
"EXPE","Expedia Group","Consumer Discretionary","Equity"
"EXPD","Expeditors","Industrials","Equity"
"EXR","Extra Space Storage","Real Estate","Equity"
"XOM","Exxon Mobil Corp","Energy","Equity"
"FFIV","F5 Networks","Information Technology","Equity"
"FB","Facebook Inc","Communication","Equity"
"FAST","Fastenal Co","Industrials","Equity"
"FRT","Federal Realty Investment Trust","Real Estate","Equity"
"FDX","FedEx Corporation","Industrials","Equity"
"FIS","Fidelity National Information Services","Information Technology","Equity"
"FITB","Fifth Third Bancorp","Financials","Equity"
"FE","First Energy Corp","Utilities","Equity"
"FRC","First Republic Bank","Financials","Equity"
"FISV","Fiserv Inc","Information Technology","Equity"
"FLT","FleetCor Technologies Inc","Information Technology","Equity"
"FLIR","FLIR Systems","Information Technology","Equity"
"FLS","Flowserve Corporation","Industrials","Equity"
"FMC","FMC Corporation","Materials","Equity"
"F","Ford Motor Company","Consumer Discretionary","Equity"
"FTNT","Fortinet","Information Technology","Equity"
"FTV","Fortive Corp","Industrials","Equity"
"FBHS","Fortune Brands Home and Security","Industrials","Equity"
"FOXA","Fox Corporation Class A","Communication","Equity"
"FOX","Fox Corporation Class B","Communication","Equity"
"BEN","Franklin Resources","Financials","Equity"
"FCX","Freeport-McMoRan Inc","Materials","Equity"
"GPS","Gap Inc","Consumer Discretionary","Equity"
"GRMN","Garmin Ltd","Consumer Discretionary","Equity"
"IT","Garner Inc","Information Technology","Equity"
"GD","General Dynamics","Industrials","Equity"
"GE","General Electric","Industrials","Equity"
"GIS","General Mills","Consumer Staples","Equity"
"GM","General Motors","Consumer Discretionary","Equity"
"GPC","Genuine Parts","Consumer Discretionary","Equity"
"GILD","Gilead Sciences","Health Care","Equity"
"GL","Globe Life Inc","Financials","Equity"
"GPN","Global Payments Inc","Information Technology","Equity"
"GS","Goldman Sachs Group","Financials","Equity"
"GWW","Grainger (WW) Inc","Industrials","Equity"
"HRB","H&R Block","Consumer Discretionary","Equity"
"HAL","Halliburton Co","Energy","Equity"
"HBI","Hanesbrands Inc","Consumer Discretionary","Equity"
"HIG","Harford Financial Svs Group","Financials","Equity"
"HAS","Hasbro Inc","Consumer Discretionary","Equity"
"HCA","HCA Healthcare","Health Care","Equity"
"PEAK","Healthpeak Properties","Real Estate","Equity"
"HSIC","Henry Schein","Health Care","Equity"
"HSY","The Hershey Company","Consumer Staples","Equity"
"HES","Hess Corporation","Energy","Equity"
"HPE","Hewlett Packard Enterprise","Information Technology","Equity"
"HLT","Hilton Worldwide Holdings Inc","Consumer Discretionary","Equity"
"HFC","HollyFrontier Corp","Energy","Equity"
"HOLX","Hologic","Health Care","Equity"
"HD","Home Depot","Consumer Discretionary","Equity"
